Quiz,HW,Participation,Final,Letter grade,Midterm
19.125,19.65,5.0,96.5,A,99.0
19.5,19.7,4.0,97.5,A,99.0
18.6875,19.125,5.0,96.5,A,97.5
19.625,19.5,5.0,98.0,A,89.5
19.25,18.75,5.0,97.0,A,92.5
18.8125,19.5,5.0,94.5,A,95.5
19.125,18.95,5.0,95.5,A,94.5
19.5625,19.475,5.0,92.0,A,95.5
18.75,19.125,5.0,93.0,A,97.5
19.25,18.65,5.0,94.0,A,95.5
19.78125,18.85,5.0,93.5,A,93.0
18.6875,18.8,5.0,94.5,A,95.0
15.75,18.625,5.0,95.0,A,98.0
18.625,19.1,5.0,93.5,A,93.0
18.875,18.275,4.0,97.5,A,92.5
18.6875,18.75,4.0,95.0,A,94.5
19.125,19.25,4.0,95.5,A,90.0
18.875,19.15,5.0,92.0,A,91.0
17.625,18.625,5.0,97.5,A,85.5
18.9375,18.475,5.0,92.5,A,89.5
18.0,18.425,5.0,92.0,A-,93.0
18.375,19.7,4.0,96.5,A-,84.5
18.3125,19.15,5.0,95.5,A-,83.5
18.65625,19.25,4.0,95.0,A-,87.0
19.125,18.45,4.0,95.0,A-,87.5
16.6875,18.15,5.0,97.5,A-,86.5
18.1875,18.7,4.0,91.0,A-,97.0
18.125,19.55,5.0,97.0,A-,78.0
18.3125,18.575,4.0,93.5,A-,91.0
18.1875,18.775,5.0,93.0,A-,86.5
18.5,18.75,4.0,91.0,A-,92.5
18.9375,18.05,5.0,91.0,A-,86.0
18.4375,18.35,5.0,90.0,A-,87.5
18.9375,14.3,5.0,96.5,A-,88.0
18.0625,19.325,4.0,92.5,A-,84.5
16.83375,19.25,4.0,96.0,A-,81.5
16.25,17.7,4.0,98.0,A-,82.5
16.75,18.675,4.0,95.5,A-,82.5
18.125,18.95,5.0,89.0,A-,83.5
18.375,18.3,5.0,96.5,B+,71.0
17.1875,18.125,5.0,90.0,B+,87.0
17.76125,18.725,4.0,89.5,B+,88.0
18.6675,18.8,5.0,80.0,B+,94.5
17.0,16.675,5.0,95.0,B+,81.5
17.15625,19.1,5.0,87.0,B+,86.5
15.43875,17.55,4.0,91.0,B+,92.0
18.625,17.5,4.0,85.5,B+,93.0
18.0,19.0,5.0,88.5,B+,79.5
15.0625,17.475,5.0,93.5,B+,84.0
18.08375,18.85,5.0,92.5,B+,72.0
16.625,18.6,5.0,92.0,B+,79.5
